total_loss,pred_loss,policy_loss,sigreg_loss,avg_var,learning_rate,epsilon
3.9077234268188477,0.14685919880867004,0.9545375108718872,37.608642578125,"tensor(4.7385e-06, device='cuda:0', grad_fn=<MeanBackward0>)",0.001,0.9995
3.4695591926574707,0.16404834389686584,74.71055603027344,33.05510711669922,"tensor(4.3264e-07, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9990002500000001
3.246642589569092,0.14434108138084412,8.363551139831543,31.02301597595215,"tensor(2.3519e-07, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9985007498750001
3.415367841720581,0.13519388437271118,4.811656951904297,32.80173873901367,"tensor(9.1558e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9980014995000627
3.8483943939208984,0.12952923774719238,0.8395553827285767,37.18865203857422,"tensor(1.5441e-07, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9975024987503127
3.007546901702881,0.11961448192596436,4.70958948135376,28.879323959350586,"tensor(7.8754e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9970037475009376
3.414262533187866,0.11699306219816208,8.275157928466797,32.972694396972656,"tensor(6.1560e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9965052456271871
3.267652750015259,0.11568784713745117,4.58371114730835,31.519649505615234,"tensor(5.1932e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9960069930043736
3.7866995334625244,0.10037456452846527,4.328564643859863,36.863250732421875,"tensor(1.8701e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9955089895078715
3.099480152130127,0.09606021642684937,8.007874488830566,30.034198760986328,"tensor(1.8034e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9950112350131176
3.576826572418213,0.09573686122894287,15.374497413635254,34.81089782714844,"tensor(2.4034e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000999,0.9945137293956111
3.2588610649108887,0.07076942920684814,4.118403911590576,31.880916595458984,"tensor(1.5671e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9940164725309134
3.2651546001434326,0.06579620391130447,4.183146953582764,31.99358367919922,"tensor(1.2405e-08, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.993519464294648
3.4725067615509033,0.06472264975309372,4.371063232421875,34.077842712402344,"tensor(8.1920e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9930227045625007
3.5742928981781006,0.05431341379880905,11.865140914916992,35.19979476928711,"tensor(8.2051e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9925261932102195
3.560281991958618,0.05384042114019394,7.248993873596191,35.064414978027344,"tensor(5.8083e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9920299301136144
3.576470375061035,0.049686696380376816,0.2274499535560608,35.26783752441406,"tensor(6.8775e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9915339151485576
3.3901782035827637,0.04121922701597214,0.2578347325325012,33.48958969116211,"tensor(4.6926e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9910381481909833
3.2336156368255615,0.038431476801633835,6.70835018157959,31.951841354370117,"tensor(4.3352e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.990542629116888
3.5215275287628174,0.035072799772024155,73.27557373046875,34.86454772949219,"tensor(5.2643e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9900473578023296
2.972830295562744,0.03126479685306549,6.46961784362793,29.4156551361084,"tensor(6.6550e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000998001,0.9895523341234285
3.1648037433624268,0.030087267979979515,3.3794384002685547,31.347164154052734,"tensor(6.9654e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9890575579563669
3.30111026763916,0.02784820646047592,12.821816444396973,32.73262023925781,"tensor(4.3353e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9885630291773887
3.1833949089050293,0.0269535593688488,3.191220998764038,31.56441307067871,"tensor(5.4452e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9880687476628001
3.0721683502197266,0.02570853754878044,0.012880363501608372,30.464597702026367,"tensor(1.5774e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9875747132889687
3.247061252593994,0.023099586367607117,6.840924263000488,32.23961639404297,"tensor(1.4740e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9870809259323243
3.262044906616211,0.020965933799743652,0.5433055758476257,32.410789489746094,"tensor(1.7323e-09, device='cuda:0', grad_fn=<MeanBackward0>)",0.000997002999,0.9865873854693582
