total_loss,pred_loss,policy_loss,sigreg_loss,learning_rate,epsilon
0.19454467296600342,0.1834971159696579,0.21784521639347076,0.5523777008056641,0.001,0.99975
0.20305563509464264,0.19268304109573364,484.9349060058594,0.5186294317245483,0.000999,0.9995000625
0.21720996499061584,0.20635591447353363,21.977386474609375,0.5427021980285645,0.000999,0.999250187484375
0.19760677218437195,0.18751399219036102,3.16978120803833,0.5046390295028687,0.000999,0.9990003749375039
0.17625008523464203,0.16651712357997894,12.70016860961914,0.4866481125354767,0.000999,0.9987506248437695
0.16993477940559387,0.15997391939163208,29.216999053955078,0.4980430603027344,0.000999,0.9985009371875586
0.18207411468029022,0.17179754376411438,9.422348022460938,0.5138282179832458,0.000999,0.9982513119532618
0.16209661960601807,0.1515645533800125,0.3556285500526428,0.5266034603118896,0.000999,0.9980017491252735
0.14549186825752258,0.13480272889137268,13.394962310791016,0.5344571471214294,0.000999,0.9977522486879922
0.1260935217142105,0.11524668335914612,1.0696865320205688,0.5423418879508972,0.000999,0.9975028106258202
0.12463489174842834,0.11358295381069183,6.800382614135742,0.5525970458984375,0.000999,0.9972534349231639
0.10747012495994568,0.09636528044939041,223.15655517578125,0.5552423000335693,0.000998001,0.9970041215644331
0.09658674895763397,0.08558093011379242,13.047818183898926,0.550291121006012,0.000998001,0.996754870534042
0.0961783155798912,0.08542709797620773,12.29252815246582,0.5375609397888184,0.000998001,0.9965056818164085
0.08262279629707336,0.0721486285328865,20.669469833374023,0.5237083435058594,0.000998001,0.9962565553959545
0.08008035272359848,0.06986937671899796,2.4779932498931885,0.5105489492416382,0.000998001,0.9960074912571055
0.06380825489759445,0.053759925067424774,159.10421752929688,0.5024166107177734,0.000998001,0.9957584893842912
0.05511067062616348,0.04522822052240372,244.19290161132812,0.49412256479263306,0.000998001,0.9955095497619452
0.0489516481757164,0.039223264902830124,1.491896629333496,0.48641929030418396,0.000998001,0.9952606723745047
0.04158138483762741,0.03201540187001228,13.233139991760254,0.478299081325531,0.000998001,0.995011857206411
0.03482784330844879,0.025443339720368385,1.5836782455444336,0.46922528743743896,0.000998001,0.9947631042421095
0.03140383958816528,0.022208144888281822,42.03726577758789,0.45978471636772156,0.000997002999,0.994514413466049
0.02962816134095192,0.0206206776201725,780.3220825195312,0.45037418603897095,0.000997002999,0.9942657848626825
