total_loss,pred_loss,policy_loss,sigreg_loss,learning_rate,epsilon,avg_norm_z_t
0.17363590002059937,0.16331973671913147,0.24907296895980835,0.5158080458641052,0.005,0.9995,tensor(0.0008)
0.20333026349544525,0.19272059202194214,5.512661457061768,0.5304832458496094,0.004995,0.9990002500000001,tensor(0.0014)
0.20448501408100128,0.194152370095253,47.25505065917969,0.5166323184967041,0.004995,0.9985007498750001,tensor(0.0021)
0.17861923575401306,0.16839395463466644,30.77459716796875,0.5112643241882324,0.004995,0.9980014995000627,tensor(0.0023)
0.15939341485500336,0.1486872285604477,25.671249389648438,0.535309374332428,0.004995,0.9975024987503127,tensor(0.0050)
0.12450305372476578,0.11367861181497574,8.290881156921387,0.5412222146987915,0.004995,0.9970037475009376,tensor(0.0029)
0.10588271915912628,0.09520593285560608,21.35584831237793,0.5338391661643982,0.004995,0.9965052456271871,tensor(0.0013)
0.08625628799200058,0.07605504244565964,188.7012176513672,0.5100623369216919,0.004995,0.9960069930043736,tensor(0.0022)
0.06541718542575836,0.055662088096141815,13.422560691833496,0.487754762172699,0.004995,0.9955089895078715,tensor(0.0016)
0.05261536315083504,0.04317818209528923,0.1516154259443283,0.47185900807380676,0.004995,0.9950112350131176,tensor(0.0051)
0.04743446409702301,0.038184523582458496,16.652915954589844,0.46249693632125854,0.004995,0.9945137293956111,tensor(0.0034)
